time,mouse_dx,mouse_dy,mouse_scroll
2021-02-01T17:25:12.284,0,0,0
2021-02-01T17:25:12.289,0,0,0
2021-02-01T17:25:12.295,0,0,0
2021-02-01T17:25:12.303,0,0,0
2021-02-01T17:25:12.303,0,0,0
2021-02-01T17:25:12.307,0,0,0
2021-02-01T17:25:12.313,0,0,0
2021-02-01T17:25:12.317,0,0,0
2021-02-01T17:25:12.320,0,0,0
2021-02-01T17:25:12.324,0,0,0
2021-02-01T17:25:12.329,0,0,0
2021-02-01T17:25:12.334,0,0,0
2021-02-01T17:25:12.343,0,0,0
2021-02-01T17:25:12.344,0,0,0
2021-02-01T17:25:12.351,0,0,0
2021-02-01T17:25:12.351,0,0,0
2021-02-01T17:25:12.355,0,0,0
2021-02-01T17:25:12.362,0,0,0
2021-02-01T17:25:12.366,0,0,0
2021-02-01T17:25:12.369,0,0,0
2021-02-01T17:25:12.373,0,0,0
2021-02-01T17:25:12.377,0,0,0
2021-02-01T17:25:12.381,0,0,0
2021-02-01T17:25:12.385,0,0,0
2021-02-01T17:25:12.389,0,0,0
2021-02-01T17:25:12.393,0,0,0
2021-02-01T17:25:12.398,0,0,0
2021-02-01T17:25:12.402,0,0,0
2021-02-01T17:25:12.406,0,0,0
2021-02-01T17:25:12.410,0,0,0
2021-02-01T17:25:12.416,0,0,0
2021-02-01T17:25:12.420,0,0,0
2021-02-01T17:25:12.424,0,0,0
2021-02-01T17:25:12.428,0,0,0
2021-02-01T17:25:12.432,0,0,0
2021-02-01T17:25:12.438,0,0,0
2021-02-01T17:25:12.442,0,0,0
2021-02-01T17:25:12.445,0,0,0
2021-02-01T17:25:12.449,0,0,0
2021-02-01T17:25:12.453,0,0,0
2021-02-01T17:25:12.460,0,0,0
2021-02-01T17:25:12.464,0,0,0
2021-02-01T17:25:12.467,0,0,0
2021-02-01T17:25:12.469,0,0,0
2021-02-01T17:25:12.473,0,0,0
2021-02-01T17:25:12.477,0,0,0
2021-02-01T17:25:12.482,0,0,0
2021-02-01T17:25:12.488,0,0,0
2021-02-01T17:25:12.492,0,0,0
2021-02-01T17:25:12.495,0,0,0
2021-02-01T17:25:12.500,0,0,0
2021-02-01T17:25:12.504,0,0,0
2021-02-01T17:25:12.512,0,0,0
2021-02-01T17:25:12.515,0,0,0
2021-02-01T17:25:12.518,0,0,0
2021-02-01T17:25:12.522,0,0,0
