time,mouse_key
2021-02-01T17:25:12.292,"{}"
2021-02-01T17:25:12.295,"{}"
2021-02-01T17:25:12.300,"{}"
2021-02-01T17:25:12.313,"{}"
2021-02-01T17:25:12.314,"{}"
2021-02-01T17:25:12.317,"{}"
2021-02-01T17:25:12.322,"{}"
2021-02-01T17:25:12.327,"{}"
2021-02-01T17:25:12.330,"{}"
2021-02-01T17:25:12.334,"{}"
2021-02-01T17:25:12.343,"{}"
2021-02-01T17:25:12.348,"{}"
2021-02-01T17:25:12.349,"{}"
2021-02-01T17:25:12.356,"{}"
2021-02-01T17:25:12.356,"{}"
2021-02-01T17:25:12.362,"{}"
2021-02-01T17:25:12.366,"{}"
2021-02-01T17:25:12.369,"{}"
2021-02-01T17:25:12.373,"{}"
2021-02-01T17:25:12.377,"{}"
2021-02-01T17:25:12.381,"{}"
2021-02-01T17:25:12.385,"{}"
2021-02-01T17:25:12.390,"{}"
2021-02-01T17:25:12.393,"{}"
2021-02-01T17:25:12.397,"{}"
2021-02-01T17:25:12.401,"{}"
2021-02-01T17:25:12.405,"{}"
2021-02-01T17:25:12.409,"{}"
2021-02-01T17:25:12.413,"{}"
2021-02-01T17:25:12.417,"{}"
2021-02-01T17:25:12.421,"{}"
2021-02-01T17:25:12.425,"{}"
2021-02-01T17:25:12.429,"{}"
2021-02-01T17:25:12.433,"{}"
2021-02-01T17:25:12.438,"{}"
2021-02-01T17:25:12.443,"{}"
2021-02-01T17:25:12.445,"{}"
2021-02-01T17:25:12.449,"{}"
2021-02-01T17:25:12.453,"{}"
2021-02-01T17:25:12.458,"{}"
2021-02-01T17:25:12.464,"{}"
2021-02-01T17:25:12.467,"{}"
2021-02-01T17:25:12.470,"{}"
2021-02-01T17:25:12.475,"{}"
2021-02-01T17:25:12.478,"{}"
2021-02-01T17:25:12.483,"{}"
2021-02-01T17:25:12.488,"{}"
2021-02-01T17:25:12.492,"{}"
2021-02-01T17:25:12.495,"{}"
2021-02-01T17:25:12.500,"{}"
2021-02-01T17:25:12.504,"{}"
2021-02-01T17:25:12.512,"{}"
2021-02-01T17:25:12.515,"{}"
2021-02-01T17:25:12.518,"{}"
2021-02-01T17:25:12.522,"{}"
2021-02-01T17:25:12.527,"{}"
2021-02-01T17:25:12.531,"{}"
2021-02-01T17:25:12.536,"{}"
2021-02-01T17:25:12.543,"{}"
2021-02-01T17:25:12.544,"{}"
2021-02-01T17:25:12.548,"{}"
2021-02-01T17:25:12.552,"{}"
2021-02-01T17:25:12.556,"{}"
2021-02-01T17:25:12.562,"{}"
2021-02-01T17:25:12.566,"{}"
2021-02-01T17:25:12.570,"{}"
2021-02-01T17:25:12.574,"{}"
2021-02-01T17:25:12.578,"{}"
2021-02-01T17:25:12.582,"{}"
2021-02-01T17:25:12.589,"{}"
2021-02-01T17:25:12.592,"{}"
2021-02-01T17:25:12.595,"{}"
2021-02-01T17:25:12.599,"{}"
2021-02-01T17:25:12.603,"{}"
2021-02-01T17:25:12.609,"{}"
2021-02-01T17:25:12.613,"{}"
2021-02-01T17:25:12.617,"{}"
2021-02-01T17:25:12.620,"{}"
2021-02-01T17:25:12.624,"{}"
2021-02-01T17:25:12.628,"{}"
2021-02-01T17:25:12.632,"{}"
2021-02-01T17:25:12.636,"{}"
2021-02-01T17:25:12.642,"{}"
2021-02-01T17:25:12.645,"{}"
2021-02-01T17:25:12.649,"{}"
2021-02-01T17:25:12.653,"{}"
2021-02-01T17:25:12.660,"{}"
2021-02-01T17:25:12.663,"{}"
2021-02-01T17:25:12.666,"{}"
